Control Area,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO
ZoneID,28,29,30,31,32,33,34,35,36,37,38
Zone,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE J,ZONE K
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
9/1/2026,$34.64 ,$32.23 ,$33.52 ,$36.19 ,$36.55 ,$43.06 ,$44.69 ,$44.65 ,$45.39 ,$48.94 ,$53.02 
10/1/2026,$27.63 ,$27.22 ,$28.01 ,$29.39 ,$30.84 ,$40.19 ,$39.20 ,$39.31 ,$41.38 ,$44.26 ,$53.57 
11/1/2026,$26.33 ,$26.44 ,$28.42 ,$29.80 ,$31.45 ,$48.87 ,$46.08 ,$46.33 ,$48.39 ,$51.56 ,$62.79 
12/1/2026,$42.71 ,$41.36 ,$45.26 ,$44.61 ,$40.82 ,$70.88 ,$67.97 ,$66.08 ,$66.04 ,$74.90 ,$75.90 
1/1/2027,$67.14 ,$76.47 ,$73.50 ,$65.63 ,$54.20 ,$132.26 ,$130.08 ,$121.51 ,$125.03 ,$130.81 ,$132.20 
2/1/2027,$60.78 ,$66.05 ,$63.48 ,$55.31 ,$46.33 ,$122.81 ,$116.29 ,$115.53 ,$114.48 ,$118.28 ,$115.87 
3/1/2027,$39.96 ,$42.62 ,$42.37 ,$39.76 ,$34.73 ,$67.39 ,$68.43 ,$68.44 ,$65.72 ,$69.73 ,$71.22 
4/1/2027,$33.71 ,$34.93 ,$32.81 ,$28.63 ,$30.73 ,$52.17 ,$53.48 ,$53.72 ,$51.25 ,$56.35 ,$60.62 
5/1/2027,$24.32 ,$28.43 ,$27.99 ,$27.99 ,$28.89 ,$50.29 ,$49.24 ,$49.61 ,$49.40 ,$49.98 ,$55.21 
6/1/2027,$33.38 ,$31.47 ,$30.15 ,$33.03 ,$33.70 ,$53.10 ,$53.33 ,$53.84 ,$53.76 ,$60.01 ,$65.89 
7/1/2027,$49.41 ,$47.29 ,$43.78 ,$43.93 ,$48.29 ,$67.14 ,$69.91 ,$70.77 ,$70.42 ,$74.68 ,$83.47 
