Zone ID,Load Zone,Month,Total Cost per MWh,,,
4001,MAINE,10/1/2022,10.675,,,
4001,MAINE,11/1/2022,10.675,,,
4001,MAINE,12/1/2022,10.675,,,
4001,MAINE,1/1/2023,12.81,,,
4001,MAINE,2/1/2023,12.81,,,
4001,MAINE,3/1/2023,12.81,,,
4001,MAINE,4/1/2023,12.81,,,
4001,MAINE,5/1/2023,12.81,,,
4001,MAINE,6/1/2023,12.81,,,
4001,MAINE,7/1/2023,12.81,,,
4001,MAINE,8/1/2023,12.81,,,
4001,MAINE,9/1/2023,12.81,,,
4001,MAINE,10/1/2023,12.81,,,
4001,MAINE,11/1/2023,12.81,,,
4001,MAINE,12/1/2023,12.81,,,
4001,MAINE,1/1/2024,14.625,,,
4001,MAINE,2/1/2024,14.625,,,
4001,MAINE,3/1/2024,14.625,,,
4001,MAINE,4/1/2024,14.625,,,
4001,MAINE,5/1/2024,14.625,,,
4001,MAINE,6/1/2024,14.625,,,
4001,MAINE,7/1/2024,14.625,,,
4001,MAINE,8/1/2024,14.625,,,
4001,MAINE,9/1/2024,14.625,,,
4001,MAINE,10/1/2024,14.625,,,
4001,MAINE,11/1/2024,14.625,,,
4001,MAINE,12/1/2024,14.625,,,
4001,MAINE,1/1/2025,16.235,,,
4001,MAINE,2/1/2025,16.235,,,
4001,MAINE,3/1/2025,16.235,,,
4001,MAINE,4/1/2025,16.235,,,
4001,MAINE,5/1/2025,16.235,,,
4001,MAINE,6/1/2025,16.235,,,
4001,MAINE,7/1/2025,16.235,,,
4001,MAINE,8/1/2025,16.235,,,
4001,MAINE,9/1/2025,16.235,,,
4001,MAINE,10/1/2025,16.235,,,
4001,MAINE,11/1/2025,16.235,,,
4001,MAINE,12/1/2025,16.235,,,
4001,MAINE,1/1/2026,17.295,,,
4001,MAINE,2/1/2026,17.295,,,
4001,MAINE,3/1/2026,17.295,,,
4001,MAINE,4/1/2026,17.295,,,
4001,MAINE,5/1/2026,17.295,,,
4001,MAINE,6/1/2026,17.295,,,
4001,MAINE,7/1/2026,17.295,,,
4001,MAINE,8/1/2026,17.295,,,
4001,MAINE,9/1/2026,17.295,,,
4001,MAINE,10/1/2026,17.295,,,
4001,MAINE,11/1/2026,17.295,,,
4001,MAINE,12/1/2026,17.295,,,
4001,MAINE,1/1/2027,18.955,,,
4001,MAINE,2/1/2027,18.955,,,
4001,MAINE,3/1/2027,18.955,,,
4001,MAINE,4/1/2027,18.955,,,
4001,MAINE,5/1/2027,18.955,,,
4001,MAINE,6/1/2027,18.955,,,
4001,MAINE,7/1/2027,18.955,,,
4001,MAINE,8/1/2027,18.955,,,
4001,MAINE,9/1/2027,18.955,,,
4001,MAINE,10/1/2027,18.955,,,
4001,MAINE,11/1/2027,18.955,,,
4001,MAINE,12/1/2027,18.955,,,
4001,MAINE,1/1/2028,20.615,,,
4001,MAINE,2/1/2028,20.615,,,
4001,MAINE,3/1/2028,20.615,,,
4001,MAINE,4/1/2028,20.615,,,
4001,MAINE,5/1/2028,20.615,,,
4001,MAINE,6/1/2028,20.615,,,
4001,MAINE,7/1/2028,20.615,,,
4001,MAINE,8/1/2028,20.615,,,
4001,MAINE,9/1/2028,20.615,,,
4001,MAINE,10/1/2028,20.615,,,
4001,MAINE,11/1/2028,20.615,,,
4001,MAINE,12/1/2028,20.615,,,
4002,NEWHAMPSHIRE,1/1/2012,2.411,,,
4002,NEWHAMPSHIRE,2/1/2012,2.411,,,
4002,NEWHAMPSHIRE,3/1/2012,2.411,,,
4002,NEWHAMPSHIRE,4/1/2012,2.411,,,
4002,NEWHAMPSHIRE,5/1/2012,2.411,,,
4002,NEWHAMPSHIRE,6/1/2012,2.411,,,
4002,NEWHAMPSHIRE,7/1/2012,2.411,,,
4002,NEWHAMPSHIRE,8/1/2012,2.411,,,
4002,NEWHAMPSHIRE,9/1/2012,2.411,,,
4002,NEWHAMPSHIRE,10/1/2012,2.411,,,
4002,NEWHAMPSHIRE,11/1/2012,2.411,,,
4002,NEWHAMPSHIRE,12/1/2012,2.411,,,
4002,NEWHAMPSHIRE,1/1/2013,2.705,,,
4002,NEWHAMPSHIRE,2/1/2013,2.705,,,
4002,NEWHAMPSHIRE,3/1/2013,2.705,,,
4002,NEWHAMPSHIRE,4/1/2013,2.705,,,
4002,NEWHAMPSHIRE,5/1/2013,2.705,,,
4002,NEWHAMPSHIRE,6/1/2013,2.705,,,
4002,NEWHAMPSHIRE,7/1/2013,2.705,,,
4002,NEWHAMPSHIRE,8/1/2013,2.705,,,
4002,NEWHAMPSHIRE,9/1/2013,2.705,,,
4002,NEWHAMPSHIRE,10/1/2013,2.705,,,
4002,NEWHAMPSHIRE,11/1/2013,2.705,,,
4002,NEWHAMPSHIRE,12/1/2013,2.705,,,
4002,NEWHAMPSHIRE,1/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,2/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,3/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,4/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,5/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,6/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,7/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,8/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,9/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,10/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,11/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,12/1/2014,0.9855,,,
4002,NEWHAMPSHIRE,1/1/2015,1.303,,,
4002,NEWHAMPSHIRE,2/1/2015,1.303,,,
