Control Area,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM
ZoneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,47,48,49,51
Zone,AECO,AEP,APS,ATSI,BGE,COMED,DAY,DEOK,DOM,DPL,DUQ,JCPL,METED,PECO,PENELEC,PEPCO,PPL,PSEG,RECO,WEST HUB,AD HUB,NI HUB,EAST HUB
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
8/1/2027,$58.71 ,$58.07 ,$60.50 ,$59.36 ,$61.99 ,$51.53 ,$59.68 ,$59.38 ,$59.58 ,$65.69 ,$59.83 ,$56.72 ,$59.35 ,$58.21 ,$59.76 ,$63.37 ,$56.88 ,$58.96 ,$60.89 ,$60.75 ,$57.55 ,$51.90 ,$63.75 
9/1/2027,$47.66 ,$52.24 ,$54.32 ,$53.02 ,$56.24 ,$45.58 ,$54.32 ,$53.78 ,$54.24 ,$54.91 ,$55.01 ,$45.63 ,$49.43 ,$47.58 ,$52.08 ,$57.82 ,$48.81 ,$48.70 ,$51.22 ,$53.60 ,$51.70 ,$45.30 ,$53.15 
10/1/2027,$46.25 ,$50.90 ,$52.79 ,$51.27 ,$54.11 ,$43.70 ,$52.00 ,$51.36 ,$53.21 ,$53.29 ,$52.10 ,$43.85 ,$47.10 ,$46.38 ,$51.04 ,$56.16 ,$46.01 ,$48.18 ,$49.02 ,$52.20 ,$50.10 ,$43.65 ,$51.85 
11/1/2027,$49.09 ,$51.27 ,$53.76 ,$52.01 ,$53.84 ,$44.53 ,$52.79 ,$52.03 ,$53.07 ,$55.46 ,$52.90 ,$46.75 ,$49.41 ,$49.31 ,$52.52 ,$56.11 ,$47.61 ,$50.12 ,$50.82 ,$53.60 ,$50.65 ,$44.45 ,$53.15 
12/1/2027,$58.19 ,$55.16 ,$58.67 ,$56.31 ,$59.61 ,$47.80 ,$58.34 ,$55.81 ,$58.57 ,$63.02 ,$56.18 ,$55.83 ,$56.57 ,$56.94 ,$58.32 ,$62.17 ,$56.14 ,$58.68 ,$59.46 ,$58.95 ,$54.45 ,$47.75 ,$60.75 
1/1/2028,$90.94 ,$79.39 ,$87.54 ,$80.37 ,$89.00 ,$66.26 ,$85.68 ,$80.22 ,$88.08 ,$95.55 ,$80.70 ,$89.26 ,$89.82 ,$90.26 ,$86.13 ,$91.55 ,$84.48 ,$90.19 ,$92.40 ,$87.15 ,$77.30 ,$66.10 ,$93.62 
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
