Zone ID,Ancillary,Load Zone,Month,Price,Billing Determinant,,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2020,0.36,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2021,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2022,0.4,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2022,0.4,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2022,0.4,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2022,0.3238,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2022,0.3325,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2022,0.3325,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2022,0.335,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2022,0.3425,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2022,0.3225,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2022,0.3213,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2022,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2022,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2023,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2024,0.39,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2024,0.39,RTLO ($/MWh),,,,
